* These two reactions were added to the model
METt2rpp	1.0 met_L_p + 1.0 h_p <==> 1.0 met_L_c + 1.0 h_c	(rxn manually added to the model)	
GLNt2rpp	1.0 gln_L_p + 1.0 h_p <==> 1.0 gln_L_c + 1.0 h_c	(rxn manually added to the model)	

ACOAD2f	1.0 fad_c + 1.0 hxcoa_c <==> 1.0 fadh2_c + 1.0 hx2coa_c	b0221
ACOAD3f	1.0 fad_c + 1.0 occoa_c <==> 1.0 fadh2_c + 1.0 oc2coa_c	b0221
ACOAD4f	1.0 dcacoa_c + 1.0 fad_c <==> 1.0 dc2coa_c + 1.0 fadh2_c	b0221
ACOAD5f	1.0 ddcacoa_c + 1.0 fad_c <==> 1.0 dd2coa_c + 1.0 fadh2_c	b0221
ACOAD6f	1.0 fad_c + 1.0 tdcoa_c <==> 1.0 td2coa_c + 1.0 fadh2_c	b0221
ACOAD7f	1.0 pmtcoa_c + 1.0 fad_c <==> 1.0 fadh2_c + 1.0 hdd2coa_c	b0221
ACOAD8f	1.0 stcoa_c + 1.0 fad_c <==> 1.0 fadh2_c + 1.0 od2coa_c	b0221
ACOATA	1.0 accoa_c + 1.0 ACP_c <==> 1.0 acACP_c + 1.0 coa_c	(b1094 and b1091)
ACODA	1.0 acorn_c + 1.0 h2o_c --> 1.0 ac_c + 1.0 orn_c	b3957
ACOLIPAabctex	1.0 h2o_c + 1.0 acolipa_p + 1.0 atp_c --> 1.0 acolipa_e + 1.0 pi_c + 1.0 adp_c + 1.0 h_c	(b3200 and b3201 and b3199 and b4261 and b4262)
ACONIs	1.0 acon_T_c <==> 1.0 acon_C_c	s0001
ACONMT	1.0 amet_c + 1.0 acon_T_c --> 1.0 aconm_c + 1.0 ahcys_c	b1519
ACONTa	1.0 cit_c <==> 1.0 h2o_c + 1.0 acon_C_c	(b0118 or b1276)
ACONTb	1.0 h2o_c + 1.0 acon_C_c <==> 1.0 icit_c	(b0118 or b1276)
ACOTA	1.0 acorn_c + 1.0 akg_c <==> 1.0 glu_L_c + 1.0 acg5sa_c	(b1748 or b3359)
ACPPAT120	1.0 h_c + 1.0 ddcaACP_c + 1.0 pi_c --> 1.0 ddcap_c + 1.0 ACP_c	(b1094 and b1090)
ACPPAT140	1.0 h_c + 1.0 pi_c + 1.0 myrsACP_c --> 1.0 ttdcap_c + 1.0 ACP_c	(b1094 and b1090)
ACPPAT141	1.0 h_c + 1.0 pi_c + 1.0 tdeACP_c --> 1.0 ttdceap_c + 1.0 ACP_c	(b1094 and b1090)
